"","con1","con2","treat1","treat2","con3","con4","treat3","treat4"
"NEXN-AS1",54,46,37,30,66,58,47,38
"FUBP1",750,618,1026,967,832,720,1068,844
"RNA5SP23",39,39,38,47,34,30,24,38
"IFI44L",55,46,36,41,80,52,53,44
"IFI44",17,27,12,24,27,28,21,12
"AC104837.2",169,138,247,239,152,149,281,204
"ADGRL4",703,571,893,926,430,370,713,598
"ADH5P2",234,173,280,276,232,216,337,247
"AC099671.1",886,894,990,829,1050,947,1158,851
"AL136234.1",3267,2885,3082,2720,4082,3788,3981,3045
"MTND2P30",24,20,20,31,30,33,37,31
"RPL7P10",445,332,568,621,433,369,689,509
"ADGRL2",515,444,567,552,428,418,537,498
"ARID3BP1",415,365,318,357,423,367,444,368
"ST13P20",78,72,77,64,73,44,87,41
"AC116099.1",145,96,179,164,139,113,177,171
"LINC01725",366,290,425,427,432,357,457,340
"RPF1",1317,1096,1697,1611,1071,933,1701,1439
"AL359762.3",54,68,39,23,72,58,35,24
"AL359762.2",137,120,252,238,82,76,187,110
"BCL10",653,545,981,896,706,610,951,740
"DDAH1",1254,1113,1549,1327,1181,1178,1653,1230
"AC092807.4",671,491,715,795,1095,919,1047,841
"AC092807.1",300,252,339,310,473,401,393,275
"AC092807.2",870,620,1126,1131,1528,1261,2399,1736
"AC104455.1",34,29,19,10,17,15,18,20
"AL355981.1",860,704,768,713,783,712,768,612
"AL121989.1",717,501,799,873,698,638,872,684
"AC093155.2",836,757,1113,930,417,361,1002,695
"LINC01140",72,53,78,86,34,29,73,45
"LMO4",350,279,581,514,334,261,629,497
"RPL36AP10",24,15,12,13,16,13,23,10
"ELOCP19",306,222,265,226,345,257,349,257
"GBP3",910,650,1281,1215,1049,903,1545,1127
"AC099063.2",27,19,16,17,18,17,27,16
"BX119321.1",557,454,542,437,677,643,732,513
"GBP1P1",5265,4946,5997,5105,4873,4488,5535,3995
"LRRC8B",269,192,259,285,331,293,346,262
"LRRC8C",1782,1424,2585,2443,2365,1974,3133,2471
"LRRC8D",2986,2134,3318,3745,2673,2241,3148,2735
"RN7SKP272",413,350,373,333,487,436,536,337
"SNORD3G",160,129,110,78,166,177,98,73
"LINC02788",466,342,451,542,470,359,511,417
"LINC01763",734,510,657,759,596,469,723,605
"CDC7",417,263,433,467,477,476,508,381
"WDR82P2",113,82,63,56,163,148,111,103
"HSP90B3P",511,351,491,537,740,627,647,506
"BRDT",1052,909,1417,1165,1002,1009,1513,1157
"SETSIP",1539,1104,1981,1902,1335,1173,1859,1455
"AC104836.1",628,647,555,434,1043,1094,796,652
"AL663109.1",256,218,179,151,296,295,231,207
"EVI5",2273,1938,2197,2123,1902,1600,2262,1848
"AL354890.1",4598,3407,4322,4797,6005,4831,5825,4434
"HMGB3P9",819,636,1148,1081,755,709,1013,791
"SNORA66",94,62,90,115,103,74,105,109
"MTND3P21",95,115,107,79,155,111,122,91
"MTCO3P21",31,30,29,16,30,30,26,19
"AL117351.1",346,264,336,467,300,247,500,376
"ABCD3",297,252,216,228,448,367,302,227
"MIR378G",39,31,29,22,62,62,42,13
"SLC44A3",23,31,24,17,20,20,26,19
"CNN3",5342,4706,7267,6122,3947,3909,6671,5291
"TLCD4-RWDD3",1220,1166,1462,1163,610,563,1010,743
"AC092802.3",521,440,376,375,331,381,371,383
"AC092802.1",705,506,770,754,794,644,892,690
"AL445218.1",79,43,96,85,97,75,121,91
"AL683887.1",3938,3328,7426,7090,3087,2832,6184,4776
"LINC02790",6896,5558,6260,5967,6719,6100,6219,5373
"RNU1-130P",69,65,73,80,113,91,94,77
"RN7SL831P",155,151,190,146,158,148,145,113
"AC114878.1",1150,1110,914,803,1020,938,860,696
"AC114878.2",791,687,682,564,677,608,783,623
"MIR2682",348,285,415,360,293,247,419,325
"AC104453.1",54,57,72,65,53,49,82,53
"LINC01776",1628,1358,1878,1746,1634,1386,2064,1402
"AC095031.1",349,244,454,469,431,378,501,351
"PLPPR5",47,37,39,45,17,22,37,23
"AL445433.2",743,551,473,465,767,726,587,414
"AL365220.1",302,181,371,364,342,282,438,322
"HMGB3P10",545,533,969,981,582,541,1105,756
"RNU4-75P",261,192,337,352,230,190,422,292
"AGL",3408,3055,2643,2133,3568,3252,2926,2291
"SLC35A3",30,11,15,23,17,14,31,16
"AC118553.2",154,106,130,141,145,154,150,111
"RNU6-750P",266,190,181,206,234,227,198,125
"MFSD14A",1322,1215,1394,1183,1026,981,1593,1247
"AC093019.2",1830,1774,1669,1389,1871,1728,1887,1423
"RPL23AP90",32,25,20,14,9,7,15,19
"RTCA",359,276,492,514,348,324,495,388
"BCAS2P2",78,67,61,51,61,67,59,33
"AC099670.1",2433,2257,2453,1991,2369,2271,2441,1974
"AC099670.3",610,491,598,589,787,750,914,688
"AC099670.2",834,609,810,813,821,711,1024,828
"VCAM1",834,651,898,931,782,619,912,717
"AC104506.1",82,106,71,86,134,112,101,88
"HNRNPA1P68",357,284,281,282,260,208,356,272
"AL109741.1",333,272,490,478,381,364,443,368
"PPIAP7",25,19,13,10,41,39,19,10
"AC114485.1",230,165,278,273,266,228,274,228
"SOD2P1",185,142,224,247,150,137,224,152
"AC095032.2",121,97,159,161,102,95,159,118
"ACTG1P4",6415,5025,5512,5664,9026,7477,7034,5386
"AMY1B",35,16,33,27,55,35,44,34
"AL136455.1",367,274,492,469,334,326,530,410
"AL591888.1",66,61,120,110,78,66,120,85
"AL512844.2",2463,2261,2708,2450,2495,2215,2455,1833
"AL512844.1",173,161,193,170,163,164,216,166
"PRMT6",177,169,169,133,223,230,180,118
"VAV3",12,12,22,9,21,17,18,18
"AL392088.1",1115,1044,798,657,1517,1433,1109,782
"FAM102B",426,322,336,372,501,471,394,358
"HENMT1",23,27,17,18,43,26,18,15
"AL160171.1",1006,639,986,989,931,777,1113,918
"SPATA42",125,114,147,129,129,120,139,106
"CLCC1",564,396,616,639,728,640,849,636
"BX679664.2",20,13,10,17,17,17,16,14
"AL356488.3",2104,1682,2391,2279,1616,1380,2043,1726
"TMEM167B",96,85,191,190,54,52,169,97
"SCARNA2",122,118,156,112,92,59,147,91
"C1orf194",26,22,17,12,19,10,22,19
"SARS1",18,17,20,12,36,25,12,18
"MYBPHL",163,147,110,90,78,82,92,53
"SORT1",1874,1585,2012,1817,1905,1775,2072,1720
"ATXN7L2",283,248,221,159,282,285,251,197
"GPR61",488,398,724,606,535,485,821,606
"RPL7P8",1137,850,988,797,1153,785,1042,817
"AL158847.1",190,153,166,184,140,89,170,136
"NDUFA5P10",167,161,99,92,230,214,158,127
"LINC01768",248,154,189,203,153,163,222,153
"AHCYL1",113,96,75,80,88,97,67,67
"AL160006.1",153,109,239,221,142,120,256,154
"AL137790.1",3119,2610,2332,2124,2504,2134,2447,1898
"AL358215.3",552,460,767,771,483,388,724,559
"CYMP",1654,1432,1632,1451,1370,1246,1662,1342
"KCNA10",28,18,23,18,21,15,31,27
"KCNA2",32,32,11,12,28,33,22,19
"AL354713.1",367,306,404,363,314,260,454,362
"CD53",1670,1272,1592,1579,1521,1367,1602,1444
"AL355816.1",24,22,13,18,37,28,15,17
"HIGD1AP12",1754,1086,1737,2036,1575,1205,1947,1621
"OVGP1",11,18,11,10,28,26,13,12
"TMIGD3",645,519,740,702,547,496,676,541
"RAP1A",447,340,533,572,432,421,604,437
"KRT18P57",4144,3168,3965,3964,3337,3046,4324,3244
"AL049557.1",711,605,557,562,647,589,674,536
"DDX20",520,436,448,419,429,343,489,426
"LINC01750",696,597,445,428,668,623,612,438
"MIR4256",4566,3832,4579,4299,4594,4289,5219,3871
"ST7L",28,24,20,13,16,15,25,15
"MRPL53P1",552,420,451,455,581,444,522,458
"MOV10",149,157,76,60,159,147,82,67
"LINC01356",29,25,39,44,31,31,50,35
"AL390242.1",1509,1253,1322,1242,1486,1333,1417,1103
"AL391058.1",527,462,359,349,670,570,442,319
"AL121999.1",162,129,136,165,180,128,171,121
"AL035410.2",601,421,411,401,635,508,491,358
"EIF2S2P5",370,343,283,238,289,247,343,265
"RN7SL432P",1671,1559,1169,1006,2755,2445,2035,1503
"NRAS",32,32,44,30,49,38,41,44
"CSDE1",515,374,444,444,393,355,423,361
"NR1H5P",179,138,172,196,210,192,226,195
"TSHB",43,30,38,35,43,35,29,22
"NGF-AS1",1648,1354,1580,1481,1318,1092,1510,1203
"CASQ2",317,228,216,212,290,260,243,192
"NHLH2",454,349,893,777,452,402,826,628
"AL357137.1",918,819,684,606,1194,1077,1027,792
"SLC22A15",57,59,75,48,62,45,65,43
"AL355538.1",244,219,168,172,205,199,184,165
"LINC01762",195,188,102,93,249,213,97,90
"AL136376.1",1517,1511,3079,2552,1289,1260,2936,2357
"CD58",946,929,710,567,1239,1094,880,645
"AL157904.1",524,401,699,772,572,486,807,699
"PTGFRN",289,202,249,285,327,271,316,249
"CD101",128,94,159,148,181,133,172,140
"TTF2",18,10,12,12,16,19,14,7
"MIR942",24,20,14,11,14,22,13,9
"AL358072.1",279,201,385,402,315,254,375,344
"MAN1A2",204,154,110,116,178,167,162,116
"AL390877.1",16,17,17,10,13,8,21,19
"RPS3AP12",1908,1577,1437,1405,2110,1951,1979,1585
"AL359915.1",658,627,385,327,645,529,429,339
"HSD3B2",19,17,16,14,20,16,15,9
"GAPDHP23",803,688,750,647,1048,1024,968,679
"HSD3BP3",28,27,25,11,17,15,17,21
"REG4",33,25,18,9,28,21,11,16
"PFN1P9",238,167,206,187,116,101,151,116
"ADAM30",654,450,749,946,767,698,952,900
"NBPF8",77,48,35,30,42,37,24,30
"U2",1430,1184,1531,1343,1160,1132,1646,1159
"AC253572.1",24,19,12,12,19,11,26,21
"LINC00623",15,12,14,13,14,6,30,14
"AC241377.2",1032,759,1081,1083,904,786,1104,868
"H2BP1",29,23,15,18,25,19,18,15
"AC244453.1",1301,1200,1153,979,1241,1091,1249,968
"H3P4",190,137,138,131,266,245,173,168
"LINC02798",74,42,96,95,51,34,78,49
"AL592494.2",155,114,191,264,204,145,247,200
"EMBP1",356,329,172,146,387,336,195,154
"LINC01691",176,121,185,182,251,216,217,179
"AC242852.2",158,114,59,94,254,194,95,80
"AC239859.5",434,379,433,366,416,383,504,358
"AC239859.2",423,350,665,619,498,406,668,452
"AC239859.1",17,14,20,22,13,11,19,18
"FAM91A3P",557,470,585,483,709,614,792,540
"H2BP2",549,482,404,384,581,481,602,425
"H3-2",434,281,405,394,436,331,496,397
"AC246680.1",291,247,244,283,600,446,420,308
"RNA5SP529",57,30,43,38,54,55,59,42
"DRD5P2",14,12,18,14,11,6,33,19
"AC246785.4",381,208,279,302,215,179,243,293
"RNVU1-15",112,71,78,97,131,91,100,69
"AC246785.1",3757,3054,4458,4310,4260,3710,4710,3933
"RNVU1-26",119,100,89,71,54,57,80,60
"FP700107.1",46,28,25,29,27,34,36,39
"AC241585.1",4636,3842,3545,3567,5685,5530,5014,4117
"PPIAL4D",3299,2768,3566,3276,3054,2713,3293,2368
"AC245014.3",145,113,189,187,155,118,197,154
"PFN1P3",236,181,155,148,243,184,195,116
"RNVU1-31",19,14,29,19,17,16,22,19
"AC239860.2",3912,2962,3757,3736,4854,4060,4459,3658
"GPR89A",336,321,358,296,431,381,519,363
"CD160",503,404,794,731,1109,937,1188,861
"MIR6736",646,517,718,646,643,600,752,604
"ITGA10",611,428,820,903,715,600,903,739
"AC243547.1",34,21,17,16,30,35,26,22
"PEX11B",678,530,616,686,713,623,723,540
"GNRHR2",168,133,158,201,225,191,278,238
"LIX1L",36,40,26,20,76,64,49,24
"AC239799.2",10112,7379,11166,11902,8710,7237,11225,8923
"HYDIN2",37,43,17,20,25,28,17,9
"RNA5SP536",278,239,164,114,212,230,181,157
"AC244394.1",645,562,747,640,701,661,822,619
"PDIA3P1",159,131,195,197,234,215,241,193
"OR13Z2P",594,480,452,389,702,682,576,440
"AC242628.1",70,47,65,69,95,69,82,62
"AC241644.1",553,551,476,381,248,301,356,257
"AC241644.2",11764,9255,10631,10706,10936,9496,11213,8815
"PDE4DIPP1",1664,1356,2090,2044,2073,1882,2311,1830
"NBPF11",147,126,140,156,197,177,171,154
"PFN1P4",2114,2002,1804,1471,1857,1650,1750,1311
"ABHD17AP1",559,448,599,563,712,692,812,653
"RNA5SP57",23491,20360,18567,16484,29506,26419,24536,18488
"AC239809.2",335,243,297,323,364,292,453,323
"AC245100.3",1348,1001,1232,1477,1642,1421,1476,1326
"LINC02806",16,21,11,16,7,13,21,18
"AC245100.1",323,236,278,280,242,221,277,237
"RNVU1-21",38,26,29,28,24,23,33,27
"RNU1-155P",566,398,496,442,664,502,585,437
"RNVU1-2",173,149,154,161,186,211,174,139
"RNVU1-3",34,24,13,14,32,32,12,14
"RNVU1-27",195,143,116,118,147,119,140,98
"AC245389.1",35,42,46,55,55,53,73,48
"AC245297.2",432,327,478,516,834,671,780,591
"NBPF19",283,279,282,271,297,252,368,273
"AC243772.3",25,32,11,11,34,27,14,9
"FCGR1A",502,392,588,610,649,554,694,582
"H3C13",451,368,526,516,621,509,594,531
"H2AC19",117,98,117,92,114,108,94,86
"BOLA1",234,158,167,247,248,196,248,197
"SF3B4",608,284,463,592,589,426,482,609
"AC244033.2",932,737,809,796,921,847,932,718
"AC244033.1",186,179,175,155,193,173,232,198
"PLEKHO1",454,378,465,415,463,381,468,347
"ECM1",4718,3955,4477,4232,4422,3871,4790,3696
"ADAMTSL4",15,18,13,12,12,13,17,12
"U4",30,21,21,13,28,20,13,10
"HORMAD1",353,269,317,298,330,272,309,238
"RNU6-1042P",531,457,688,671,552,494,643,521
"UBE2D3P3",987,861,1362,1268,952,838,1450,1076
"SETDB1",397,320,480,545,384,381,540,398
"RNU6-884P",949,757,1272,1100,888,747,1034,834
"RPS29P29",495,412,513,535,332,295,487,370
"TNFAIP8L2",1536,1298,1750,1475,1387,1282,1694,1269
"LYSMD1",1059,940,1641,1384,773,675,1515,1218
"PI4KB",58,53,36,26,63,63,40,25
"RN7SL444P",677,629,992,837,532,476,992,721
"AL391069.1",24,14,9,13,23,16,23,18
"PSMB4",723,523,544,504,674,602,593,445
"RNY4P25",54,53,85,67,46,39,68,47
"AL365436.1",1234,946,1609,1627,1177,967,1558,1267
"AL589765.1",182,153,209,258,214,183,276,195
"RIIAD1",71,66,53,44,36,40,44,42
"AL589765.2",2195,1822,2289,2021,1848,1633,2536,2193
"TDRKH-AS1",2295,1828,1597,1516,2066,1831,1395,1126
"C2CD4D",5581,5108,5217,4498,5910,5325,6301,4775
"AL450992.1",2003,1756,1932,1733,1502,1369,1838,1542
"TCHHL1",131,107,158,114,138,136,159,150
"FLG2",584,453,692,720,735,581,850,608
"LCE5A",427,338,434,357,274,252,440,335
"LCE3E",59,45,51,52,59,36,48,35
"LCE3D",1370,958,1265,1247,1393,1143,1414,997
"LCE3C",31,15,20,15,31,28,23,19
"LCE3B",171,123,214,214,181,133,237,211
"LCEP3",214,170,285,328,287,257,331,314
"LCE2B",211,180,167,178,344,319,357,241
"LCE1E",1035,888,1244,1051,794,769,1046,786
"LCE1B",742,534,789,867,792,695,840,717
"LCE1A",349,302,352,271,311,293,380,292
"IVL",2162,2021,1868,1533,1776,1636,1747,1272
"LINC01527",395,259,4462,4519,441,354,5513,4497
"SPRR2E",1487,1220,1422,1175,1632,1470,1666,1317
"PGLYRP4",893,670,958,872,1054,872,1028,811
"S100A7L2",551,407,580,457,806,712,742,539
"S100A1",349,287,386,378,444,377,487,383
"ILF2",4051,3710,3415,2633,3170,3096,3374,2655
"GATAD2B",1230,921,1375,1497,1278,1086,1452,1234
"AL358472.5",2472,2265,2541,2307,1561,1352,2432,1947
"DENND4B",1189,883,1343,1478,1413,1165,1653,1305
"JTB",1577,1146,1072,1179,1578,1339,1314,1047
"RAB13",1964,1775,2241,1899,1933,1794,2151,1592
"MIR5698",1656,1521,1891,1616,1391,1235,1814,1330
"TPM3",2647,2410,3106,2512,3272,3047,3862,2875
"MIR190B",38,38,30,40,40,37,34,28
"C1orf189",3288,3001,2594,2168,3856,3565,3017,2408
"C1orf43",5999,5274,6128,5627,4274,3870,5140,4385
"AL354980.1",65,46,40,21,74,44,48,28
"AL354980.2",21,20,16,18,23,20,11,9
"UBE2Q1-AS1",4240,3826,4168,3493,3750,3488,4516,3288
"AL592078.2",103,83,76,96,89,95,112,80
"KCNN3",33,28,14,20,42,52,24,19
"SHC1",214,175,222,235,246,211,278,210
"DCST2",209,133,156,145,180,145,183,116
"EFNA1",587,500,669,753,671,586,810,713
"KRTCAP2",1310,997,1076,1039,912,775,1071,820
"AL713999.1",161,153,55,55,96,102,62,31
"TRIM46",18,11,19,13,19,13,20,18
"MUC1",2292,1994,1995,1737,2081,1886,1920,1447
"MIR92B",2819,2592,2424,2064,2071,1991,2710,2289
"THBS3",58,39,62,59,51,61,88,43
"MTX1P1",899,785,898,845,1085,947,1066,882
"GBA",40,22,25,26,30,20,27,17
"CLK2",26,20,23,19,26,23,20,32
"HCN3",145,135,62,52,135,141,88,65
"ASH1L-IT1",1115,1038,1104,1032,1189,1076,1074,817
"POU5F1P4",33,25,33,38,61,57,43,25
"AL353807.4",168,129,155,162,216,211,175,181
"YY1AP1",1836,1533,1654,1441,2016,1845,1873,1468
"DAP3",988,893,704,611,973,920,633,492
"GON4L",978,766,840,947,1175,932,1117,843
"AL139128.1",43,22,18,16,34,32,19,15
"AL139128.2",158,118,95,71,129,127,126,94
"KHDC4",131,102,165,169,184,158,198,156
"RXFP4",1774,1308,1470,1464,1237,963,1524,1097
"ARHGEF2",171,112,104,142,240,185,158,154
"AL355388.1",144,113,116,102,161,124,133,102
"AL355388.2",3318,2525,3372,3495,3389,2983,3938,3129
"SSR2",384,320,355,300,282,279,358,308
"UBQLN4",348,229,428,513,288,212,350,288
"MEX3A",47,34,23,16,31,13,11,32
"LMNA",417,398,271,256,480,384,348,316
"PMF1-BGLAP",429,337,531,581,493,430,604,455
"CCT3",1224,814,1195,1379,1059,877,1349,1012
"AL139130.1",41,29,38,33,43,59,47,40
"MIR9-1",64,22,41,15,36,12,42,22
"IQGAP3",106,74,54,63,101,99,75,68
"NAXE",463,410,986,902,443,393,928,728
"AL365181.3",253,206,236,218,192,170,225,146
"AL590666.2",1125,989,1034,857,1485,1269,1327,925
"NES",63,67,75,64,55,46,98,60
"AL590666.1",1900,1573,2610,2345,1809,1637,2311,1824
"SH2D2A",342,319,523,397,392,386,550,372
"INSRR",413,319,382,305,456,415,433,391
"LRRC71",24,25,20,31,34,24,27,26
"ETV3",287,266,193,160,287,269,244,210
"CYCSP52",83,43,60,67,53,51,71,52
"AL357143.1",3167,2606,3730,3559,2967,2762,3936,2982
"AL357143.2",507,419,653,627,371,365,574,471
"LINC02772",556,382,861,900,670,611,924,715
"AL353899.1",499,456,537,477,731,647,654,534
"FCRL5",404,325,486,455,497,408,552,405
"AL135929.2",1810,1726,1266,1024,1981,1788,1387,1057
"AL135929.1",362,271,379,390,407,314,460,368
"AL356276.2",75,43,53,77,58,34,88,65
"VDAC1P9",398,280,678,642,379,329,675,508
"KIRREL1",2363,1876,1975,1833,2087,1791,2249,1654
"CD1A",40,38,69,53,14,16,43,32
"OR10T2",1133,907,1002,935,1069,1045,1067,754
"AL365440.2",65,40,65,45,34,33,59,62
"OR10R1P",1020,849,997,841,610,590,1017,770
"AL365440.1",25,37,26,29,25,32,37,18
"OR6P1",353,249,376,406,445,337,471,351
"OR10Z1",2397,2148,2433,2101,2728,2577,2698,2131
"SPTA1",536,419,553,488,850,702,741,579
"OR6K2",218,171,218,212,368,283,322,277
"OR6K3",16,29,26,20,14,17,16,16
"OR6K6",3419,2927,5297,5145,2874,2520,4667,3532
"IFI16",613,422,837,873,690,595,876,753
"CADM3",1164,966,834,726,802,738,861,633
"CADM3-AS1",1224,1060,1779,1579,791,708,1486,1041
"AL513323.1",190,155,146,113,134,129,194,128
"OR10J7P",3568,3246,4502,3641,3274,3153,3667,2672
"OR10J1",290,202,407,431,387,352,494,358
"OR10AE1P",99,87,87,75,153,131,205,140
"APCS",14,9,11,8,19,9,16,14
"OR10J6P",983,879,520,443,833,764,766,565
"CRPP1",849,739,969,829,762,685,1024,749
"AL445528.1",12,13,12,14,11,12,26,18
"SNHG28",105,89,78,74,225,204,170,117
"VSIG8",632,518,503,457,802,708,631,515
"CFAP45",31,28,19,23,38,33,44,42
"KCNJ10",1160,1058,1267,1067,1422,1298,1568,1182
"IGSF8",22,19,17,17,13,12,16,10
"ATP1A2",318,245,213,203,362,334,228,195
"PEX19",15060,12807,16514,15609,17312,15576,17995,12987
"COPA",19,18,17,7,22,12,26,21
"AL138930.1",851,649,945,992,938,784,1078,846
"SETP9",1284,1005,1335,1564,1426,1203,1707,1447
"AL121985.1",289,289,350,341,537,488,593,453
"SLAMF7",514,406,591,544,558,475,758,571
"AL591806.2",1447,1008,1379,1429,1314,1117,1427,1068
"UFC1",240,200,214,235,241,224,240,227
"USP21",440,360,380,390,562,402,513,362
"FCER1G",725,601,727,657,675,626,689,553
"TOMM40L",12,9,17,14,10,11,11,19
"MIR5187",511,404,417,406,796,639,581,422
"RRM2P2",674,588,676,604,532,486,734,517
"AL592295.4",395,285,452,419,386,374,537,386
"AL592295.5",1096,1015,1382,1212,912,862,1452,1168
"RNU6-481P",670,609,643,479,696,635,658,498
"AL592295.1",361,266,432,451,366,284,459,395
"AL592295.2",1019,869,1039,1052,1199,1016,1231,856
"FCGR2A",1981,1455,2679,2900,2157,1776,2542,1956
"FCGR2C",827,634,799,872,909,736,922,712
"RPS23P9",181,160,305,277,218,200,321,199
"RPL31P11",1756,1381,1539,1512,1468,1238,1625,1339
"RN7SL466P",208,157,288,304,269,237,362,285
"SH2D1B",1943,1387,2023,2018,2224,1895,2088,1702
"SLAMF6P1",1037,823,1373,1339,1073,992,1543,1141
"UAP1",294,198,375,403,339,231,402,343
"DDR2",92,99,87,68,101,83,85,62
"HSD17B7",82,70,65,73,105,82,91,70
"AL392003.2",2269,2069,2340,1950,2221,2026,2375,1630
"AL392003.1",1169,1070,1507,1280,991,964,1342,1055
"RGS5",70,58,70,64,82,82,80,54
"NUF2",23,18,9,15,18,13,20,14
"U3",421,359,634,620,477,485,671,527
"AL391001.1",296,251,228,212,195,195,227,151
"AL390119.1",47,50,54,58,138,126,113,86
"RNU6-755P",5381,5146,5201,4206,6009,5435,6155,4658
"PRELID1P7",2388,1859,2756,2709,2732,2413,3664,2800
"LRRC52",3157,2343,2902,3100,2754,2405,2830,2415
"AL356441.1",365,252,468,491,297,308,514,384
"MGST3",480,360,543,488,418,347,571,357
"AL451074.1",24,21,14,10,17,20,21,10
"RNA5SP64",116,78,133,121,106,110,179,134
"FAM78B",270,257,379,337,323,285,341,272
"FAM78B-AS1",696,634,703,580,717,603,701,481
"AL583804.1",3840,3051,5201,5497,3926,3522,6122,5318
"FMO9P",22,11,17,11,27,23,18,16
"FMO10P",45540,37037,37060,34772,36639,32873,36993,29091
"FMO11P",3184,2528,4290,4002,2983,2613,4026,3244
"CNN2P10",632,554,451,403,583,499,552,421
"POGK",158,121,202,210,169,149,186,177
"MAEL",497,400,447,361,391,337,511,355
"DUSP27",2528,2305,2334,1906,1851,1739,2611,2075
"LINC01363",88,73,56,52,50,44,60,60
"AL359962.1",51,47,44,55,51,38,55,43
"AL359962.2",1598,1425,1680,1411,1443,1288,1707,1262
"AL031733.1",668,514,778,782,685,558,774,608
"RCSD1",1761,1387,1715,1529,2198,1989,2200,1592
"DCAF6",189,160,178,177,204,165,203,144
"MIR1255B2",688,661,904,768,599,546,828,572
"RPL34P1",663,593,346,364,668,613,519,390
"AL021397.1",2208,1734,2916,2820,3170,2630,3576,2804
"ANKRD36BP1",1788,1420,1975,1967,1717,1443,1814,1451
"TBX19",22,17,17,22,17,16,20,17
"QRSL1P1",276,226,235,186,320,268,305,248
"XCL1",462,426,392,337,553,524,453,370
"AL135926.1",6437,6204,6397,5406,5277,5018,5814,4826
"AL135926.2",1761,1486,1984,1681,2163,1921,2753,2006
"AL031726.1",33,36,50,38,21,16,32,36
"CCDC181",115,97,180,179,106,94,209,165
"Z99572.1",11,10,18,13,19,16,20,13
"F5",1447,1315,1084,979,1715,1471,1315,1038
"SELP",4107,3233,4444,4527,3808,3259,4274,3695
"SELL",211,186,170,121,104,120,190,119
"SELE",303,316,447,377,242,228,375,299
"AL356475.1",40,11,24,13,22,12,20,13
"METTL11B",1192,991,1441,1439,1270,1118,1525,1219
"MIR3119-2",811,661,721,707,912,778,787,623
"LINC01681",4455,4056,4706,3825,4257,4168,4120,3192
"HAUS4P1",1088,883,994,991,943,878,1142,741
"BX284613.2",175,134,139,143,146,126,198,140
"BX284613.1",366,250,246,229,374,317,267,208
"FMO1",39,35,13,6,57,53,17,12
"FMO4",3666,3037,2980,2787,2829,2670,2619,2238
"GM2AP2",166,154,220,187,222,203,216,183
"AL031864.1",32,15,12,15,36,32,12,10
"SUCO",946,806,856,765,899,782,928,671
"FASLG",438,343,560,568,655,548,715,577
"Z97198.1",1759,1566,2373,2089,1733,1536,2334,1746
"AL139142.1",21,20,9,10,15,18,5,8
"ANKRD45",392,359,858,743,272,271,771,580
"RN7SKP160",82,74,47,55,80,80,83,62
"GAS5",2125,2002,2222,1817,1623,1480,2303,1780
"SERPINC1",1555,1194,2038,2133,1269,1025,1709,1341
"RC3H1",52,40,54,35,82,86,66,57
"RNA5SP68",429,393,337,348,343,278,287,237
"RC3H1-IT1",325,284,220,175,393,377,313,205
"RPL30P1",112,88,56,53,121,117,79,65
"BANF1P4",111,106,129,113,108,97,146,116
"NDUFAF4P4",11,11,12,14,11,12,10,21
"RABGAP1L-IT1",186,142,102,96,150,119,119,107
"RABGAP1L-AS1",1456,1087,1325,1192,1083,904,1262,997
"Z99127.3",2578,2235,2889,2540,2184,1980,2679,2036
"RPS29P4",1817,1761,1733,1461,2082,1929,1973,1462
"Z94057.1",24,26,15,15,25,18,16,12
"TNR-IT1",268,190,250,289,343,249,318,223
"LINC02803",1088,884,1127,1133,1048,870,1107,871
"COP1",286,308,260,197,358,293,398,330
"MORF4L1P7",233,202,301,282,279,267,372,255
"PTP4A1P7",1006,836,967,971,1242,1184,1519,1137
"MIR488",953,793,897,838,940,828,1091,780
"BRINP2",387,282,375,376,420,384,442,342
"SEC16B",773,646,1046,988,897,863,1204,912
"CRYZL2P",612,439,638,734,578,534,780,579
"RASAL2-AS1",69,36,50,48,49,59,62,46
